City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Kontagora,NG,10.3999,5.4695,65.89,29,1,7.63,clear sky
216,Ust-Tsilma,RU,65.441,52.1498,-5.82,99,70,4.09,broken clouds
217,Ozinki,RU,51.1786,49.6769,19.09,97,45,6.67,scattered clouds
218,Vila Velha,BR,-20.3297,-40.2925,75.15,90,40,5.75,scattered clouds
219,Mugur-Aksy,RU,50.35,90.5,10.65,78,11,6.44,few clouds
220,Kayanga,TZ,-1.5303,31.1511,62.65,86,98,1.3,overcast clouds
221,Dargaville,NZ,-35.9333,173.8833,72.0,65,22,5.57,few clouds
222,Derzhavinsk,KZ,51.1,66.3167,19.26,95,100,4.09,overcast clouds
223,Oudtshoorn,ZA,-33.5907,22.2014,68.36,50,0,2.75,clear sky
224,Nianzishan,CN,47.5167,122.8833,9.0,61,85,7.85,overcast clouds
225,Nabire,ID,-3.3667,135.4833,78.15,84,100,6.11,overcast clouds
226,Wajima,JP,37.4,136.9,47.08,87,75,4.61,broken clouds
227,Riyadh,SA,24.6877,46.7219,51.94,53,0,15.64,clear sky
228,Oradea,RO,47.0667,21.9333,28.44,93,0,7.0,light snow
229,Balkhash,KZ,46.844,74.9804,12.81,79,0,6.71,clear sky
230,Whitehorse,CA,60.7161,-135.0538,13.8,92,100,10.36,mist
231,Hasaki,JP,35.7333,140.8333,54.0,53,74,12.97,broken clouds
232,Grootfontein,NA,-19.5667,18.1167,71.17,64,20,3.44,few clouds
233,Rosarito,MX,32.3333,-117.0333,59.49,85,99,5.61,light rain
234,Kudahuvadhoo,MV,2.6708,72.8944,81.18,69,100,5.84,overcast clouds
235,La Palma,US,33.8464,-118.0467,57.22,94,100,5.75,moderate rain
236,Palauig,PH,15.435,119.9045,83.5,56,34,3.67,scattered clouds
237,Tilichiki,RU,60.4667,166.1,-6.3,89,16,11.23,few clouds
238,Klaksvik,FO,62.2266,-6.589,34.72,71,97,5.97,overcast clouds
239,Butaritari,KI,3.0707,172.7902,81.16,79,95,16.64,overcast clouds
240,Bollene,FR,44.2848,4.753,39.07,100,0,0.0,clear sky
241,Inuvik,CA,68.3499,-133.7218,-22.94,76,20,3.44,light snow
242,Shiyan,CN,32.6475,110.7781,45.21,40,100,4.14,overcast clouds
243,Farmington,US,36.7281,-108.2187,43.48,85,100,10.36,overcast clouds
244,Champerico,GT,14.3,-91.9167,75.83,73,5,2.95,clear sky
245,Salina,US,38.8403,-97.6114,42.03,62,0,20.71,clear sky
246,Robe,AU,-37.1833,139.75,60.31,59,41,17.18,scattered clouds
247,Guerrero Negro,MX,27.9769,-114.0611,61.41,69,57,6.69,broken clouds
248,Shingu,JP,33.7333,135.9833,56.53,48,5,6.82,clear sky
249,Yamada,JP,39.4667,141.95,45.99,66,86,13.47,overcast clouds
250,Udon Thani,TH,17.3333,102.8333,86.83,42,20,4.61,few clouds
251,Lompoc,US,34.6391,-120.4579,55.85,100,100,5.75,mist
252,Benguela,AO,-12.5763,13.4055,76.3,76,100,1.66,light rain
253,Bathsheba,BB,13.2167,-59.5167,77.61,83,40,14.97,light rain
254,Brazzaville,CG,-4.2658,15.2832,74.19,91,56,1.03,broken clouds
255,Wamba,NG,8.9333,8.6,64.94,34,6,3.49,clear sky
256,High Rock,BS,26.6208,-78.2833,69.84,68,94,18.28,overcast clouds
257,Prabumulih,ID,-3.45,104.25,90.21,50,93,6.64,overcast clouds
258,Cidreira,BR,-30.1811,-50.2056,67.96,92,100,14.41,light rain
259,Koryazhma,RU,61.3143,47.1691,7.66,91,100,7.76,overcast clouds
260,Balkanabat,TM,39.5108,54.3671,45.9,61,99,1.92,overcast clouds
261,Sabya,SA,17.1495,42.6254,82.02,55,1,0.58,clear sky
262,Pangai,TO,-19.8,-174.35,80.71,78,75,0.0,light rain
263,Lagoa,PT,39.05,-27.9833,60.4,93,88,15.61,overcast clouds
264,Corralillo,CU,22.9819,-80.5856,68.63,80,28,9.51,scattered clouds
265,Quatre Cocos,MU,-20.2078,57.7625,83.08,65,28,13.35,scattered clouds
266,Caluquembe,AO,-13.7833,14.6833,63.97,76,65,0.89,broken clouds
267,Port Keats,AU,-14.25,129.55,86.16,70,100,10.16,overcast clouds
268,Pauini,BR,-7.7136,-66.9764,75.16,81,85,2.39,overcast clouds
269,Cabedelo,BR,-6.9811,-34.8339,77.67,81,9,11.48,clear sky
270,Port Arthur,CN,38.8,121.2667,30.42,47,8,14.56,clear sky
271,Asau,RO,46.4333,26.4,27.52,83,24,4.81,few clouds
272,Sabang,ID,5.8933,95.3214,80.69,71,100,10.6,overcast clouds
273,Ilulissat,GL,69.2167,-51.1,12.22,48,81,19.57,broken clouds
274,Haimen,CN,23.1935,116.6142,69.69,64,21,16.62,few clouds
275,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.81,91,100,13.15,light rain
276,Mazamari,PE,-11.3258,-74.5308,68.09,87,22,2.19,few clouds
